INFO  - 2014-06-12 17:11:33.860; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2014-06-12 17:11:33.861; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2014-06-12 17:11:34.014; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-06-12 17:11:34.025; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-06-12 17:11:34.208; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir /u/data/u88/du25/summer_research/solr-4.8.1/example/solr/collection1/
INFO  - 2014-06-12 17:11:34.225; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-06-12 17:11:34.234; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /u/data/u88/du25/summer_research/solr-4.8.1/example/solr/collection1/, dataDir=/u/data/u88/du25/summer_research/solr-4.8.1/example/solr/collection1/data/
INFO  - 2014-06-12 17:11:34.241; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2014-06-12 17:11:34.247; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-06-12 17:11:34.247; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-06-12 17:11:34.262; org.apache.solr.core.CachingDirectoryFactory; return new directory for /u/data/u88/du25/summer_research/solr-4.8.1/example/solr/collection1/data
INFO  - 2014-06-12 17:11:34.282; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/u/data/u88/du25/summer_research/solr-4.8.1/example/solr/collection1/data/index/
WARN  - 2014-06-12 17:11:34.283; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/u/data/u88/du25/summer_research/solr-4.8.1/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2014-06-12 17:11:34.291; org.apache.solr.core.CachingDirectoryFactory; return new directory for /u/data/u88/du25/summer_research/solr-4.8.1/example/solr/collection1/data/index
INFO  - 2014-06-12 17:11:34.353; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@/u/data/u88/du25/summer_research/solr-4.8.1/example/solr/collection1/data/index lockFactory=NativeFSLockFactory@/u/data/u88/du25/summer_research/solr-4.8.1/example/solr/collection1/data/index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-06-12 17:11:34.354; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-06-12 17:11:34.360; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-06-12 17:11:34.360; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-06-12 17:11:34.361; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-06-12 17:11:34.365; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-06-12 17:11:34.365; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-06-12 17:11:34.478; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-06-12 17:11:34.489; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-06-12 17:11:34.489; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-06-12 17:11:34.491; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-06-12 17:11:34.491; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2014-06-12 17:11:34.495; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-06-12 17:11:34.495; org.apache.solr.core.RequestHandlers; created /update/json: solr.UpdateRequestHandler
INFO  - 2014-06-12 17:11:34.495; org.apache.solr.core.RequestHandlers; created /update/csv: solr.UpdateRequestHandler
INFO  - 2014-06-12 17:11:34.495; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2014-06-12 17:11:34.496; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2014-06-12 17:11:34.496; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2014-06-12 17:11:34.497; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2014-06-12 17:11:34.497; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2014-06-12 17:11:34.497; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2014-06-12 17:11:34.499; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2014-06-12 17:11:34.502; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
